OrderID,OrderDate,Product,Category,Quantity,Price,Region,CustomerName,SalesRep
1001,2024-01-05,Laptop,Electronics,2.0,800.0,East,John Doe,Alice
1002,2024-01-06,Phone,Electronics,1.0,600.0,West,Jane Smith,Bob
1003,2024-01-07,Chair,Furniture,4.0,120.0,North,Mike Ross,Charlie
1004,2024-01-08,Desk,Furniture,1.0,300.0,South,Rachel Zane,Alice
1005,2024-01-09,Headphones,Electronics,3.0,50.0,East,Harvey Specter,Bob
1006,2024-01-10,Monitor,Electronics,2.0,200.0,West,Louis Litt,Charlie
1007,2024-01-11,Table,Furniture,1.0,450.0,North,Donna Paulsen,Alice
1008,2024-01-12,Keyboard,Electronics,5.0,30.0,South,Jessica Pearson,Bob
1009,2024-01-13,Mouse,Electronics,6.0,20.0,East,Katrina Bennett,Charlie
1010,2024-01-14,Sofa,Furniture,1.0,900.0,West,Alex Williams,Alice
1011,2024-01-15,Laptop,Electronics,,850.0,East,Test User,Bob
1012,2024-01-16,Chair,Furniture,3.0,,North,Test User 2,Charlie
